variance,skewness,curtosis,entropy,class
-0.27068,3.2674,-3.5562,-3.0888,1
1.8994,0.97462,4.2265,0.81377,0
4.1373,0.49248,1.093,1.8276,0
1.3049,-0.15521,6.4911,-0.75346,0
-0.24037,-1.7837,2.135,1.2418,1
3.1557,2.8908,0.59693,0.79825,0
2.0051,-6.8638,8.132,-0.2401,0
1.645,7.8612,-0.87598,-3.5569,0
-1.5078,-7.3191,7.8981,1.2289,1
0.85574,0.0082678,6.6042,-0.53104,0
2.2526,9.9636,-3.1749,-2.9944,0
-1.0401,9.3987,0.85998,-5.3336,0
1.3183,1.9017,-3.3111,0.065071,1
-2.4561,-4.5566,6.4534,-0.056479,1
4.0446,11.1741,-4.3582,-4.7401,0
-3.4605,2.6901,0.16165,-1.0224,1
-0.21394,-0.68287,0.096532,1.1965,1
3.8969,7.4163,-1.8245,0.14007,0
-0.46651,2.3383,-2.9812,-1.0431,1
4.2899,9.1814,-4.6067,-4.3263,0
4.6361,-2.6611,2.8358,1.1991,0
-2.9662,-10.3257,8.784,-2.1138,1
-1.1497,1.2954,7.701,0.62627,0
-1.7713,-10.7665,10.2184,-1.0043,1
1.7939,-1.1174,1.5454,-0.26079,0
1.8205,6.7562,0.0099913,0.39481,0
3.966,3.9213,0.70574,0.33662,0
2.6562,10.7044,-3.3085,-4.0767,0
-5.1661,8.0433,0.044265,-4.4983,1
2.9543,1.076,0.64577,0.89394,0
-2.4458,1.6285,-0.88541,-1.4802,1
-4.577,3.4515,0.66719,-0.94742,1
0.40614,1.3492,-1.4501,-0.55949,1
3.106,9.5414,-4.2536,-4.003,0
-4.2091,4.7283,-0.49126,-5.2159,1
0.6005,1.9327,-3.2888,-0.32415,1
5.1213,8.5565,-3.3917,-1.5474,0
5.086,3.2798,-1.2701,1.1189,0
-3.8858,-12.8461,12.7957,-3.1353,1
-1.8584,7.886,-1.6643,-1.8384,0
-2.8267,-9.0407,9.0694,-0.98233,1
3.82,10.9279,-4.0112,-5.0284,0
-1.9881,0.99945,-0.28562,-0.70044,1
-0.4294,-0.14693,0.044265,-0.15605,1
-4.5531,-12.5854,15.4417,-1.4983,1
4.4069,10.9072,-4.5775,-4.4271,0
1.594,4.7055,1.3758,0.081882,0
-1.3907,-1.3781,2.3055,-0.021566,1
-3.8552,3.5219,-0.38415,-3.8608,1
3.9899,-2.7066,2.3946,0.86291,0
-0.21661,8.0329,1.8848,-3.8853,0
-0.38214,8.3909,2.1624,-3.7405,0
-0.88728,2.808,-3.1432,-1.2035,1
1.9429,6.3961,0.092248,0.58102,0
4.4338,9.887,-4.6795,-3.7483,0
-0.70867,-5.5602,4.0483,0.903,1
1.0607,2.4542,2.5188,-0.17027,0
1.5514,3.8013,-4.9143,-3.7483,1
1.2999,2.5762,2.0107,-0.18967,0
-3.3582,-7.2404,11.4419,-0.57113,1
-3.1128,-6.841,10.7402,-1.0172,1
-1.005,0.084831,-0.2462,0.45688,1
-2.5346,-0.77392,3.3602,0.00171,1
0.518,0.25865,-0.84085,0.96118,1
-1.803,11.8818,2.0458,-5.2728,0
1.3419,-4.4221,8.09,-1.7349,0
0.66365,-0.045533,-0.18794,0.23447,1
1.3114,4.5462,2.2935,0.22541,0
3.3577,-4.3062,6.0241,0.18274,0
3.6077,6.8576,-1.1622,0.28231,0
3.404,8.7261,-2.9915,-0.57242,0
1.9572,-5.1153,8.6127,-1.4297,0
4.5645,-3.6275,2.8684,0.27714,0
4.6439,-3.3729,2.5976,0.55257,0
0.3798,0.7098,0.7572,-0.4444,0
-6.9599,8.9931,0.2182,-4.572,1
-2.0754,1.2767,-0.64206,-1.2642,1
2.6415,7.586,-0.28562,-1.6677,0
4.3483,11.1079,-4.0857,-4.2539,0
-2.7028,1.6327,0.83598,-0.091393,1
-2.1333,1.5685,-0.084261,-1.7453,1
-0.062025,6.1975,1.099,-1.131,0
1.4276,8.3847,-2.0995,-1.9677,0
2.6799,3.1349,0.34073,0.58489,0
-1.6244,-6.3444,4.6575,0.16981,1
3.5189,6.332,-1.7791,-0.020273,0
-3.518,2.8763,0.1548,-1.2086,1
-0.3489,3.1929,-3.4054,-3.1832,1
1.4578,-0.08485,4.1785,0.59136,0
2.7391,7.4018,0.071684,-2.5302,0
-0.24745,1.9368,-2.4697,-0.80518,1
-5.4901,9.1048,-0.38758,-5.9763,1
-0.64326,2.4748,-2.9452,-1.0276,1
2.2928,9.0386,-3.2417,-1.2991,0
-0.75793,2.5349,-3.0464,-1.2629,1
-0.092194,0.39315,-0.32846,-0.13794,1
-3.7573,-8.2916,10.3032,0.38059,1
3.2704,6.9321,-1.0456,0.23447,0
5.8862,5.8747,-2.8167,-0.30087,0
-0.7869,9.5663,-3.7867,-7.5034,0
-1.4094,-2.1252,-0.10397,-0.19225,1
3.9772,0.33521,2.2566,2.1625,0
-1.9409,-8.6848,9.155,0.94049,1
5.032,8.2026,-2.6256,-1.0341,0
3.5358,6.7086,-0.81857,0.47886,0
-2.7083,-6.8266,7.5339,0.59007,1
0.045304,6.7334,1.0708,-0.9332,0
-0.81479,-5.7381,4.3919,0.3211,1
-1.1022,-5.8395,4.5641,0.68705,1
-0.95403,1.9824,-2.3163,-1.1957,1
-1.5228,-6.4789,5.7568,0.87325,1
5.4188,10.1457,-4.084,-3.6991,0
-6.2815,6.6651,0.52581,-7.0107,1
-2.9786,2.3445,0.52667,-0.40173,1
2.7213,7.05,-0.58808,0.41809,0
3.9364,10.5885,-3.725,-4.3133,0
3.577,2.4004,1.8908,0.73231,0
-0.12196,8.8068,0.94566,-4.2267,0
3.5912,3.0129,0.72888,0.56421,0
2.1616,-6.8804,8.1517,-0.081048,0
1.941,0.46351,4.6472,1.0879,0
2.2634,-4.4862,3.6558,-0.61251,0
2.0193,0.82356,4.6369,1.4202,0
4.1665,-0.4449,0.23448,0.27843,0
-1.9966,-9.5001,9.682,-0.12889,1
-1.7015,-0.010356,-0.99337,-0.53104,1
4.2969,7.617,-2.3874,-0.96164,0
-4.0173,-8.3123,12.4547,-1.4375,1
-3.0866,-6.6362,10.5405,-0.89182,1
0.81356,9.1566,-2.1492,-4.1814,0
3.9294,1.4112,1.8076,0.89782,0
1.9321,6.0423,0.26019,-2.053,0
-2.7769,-5.6967,5.9179,0.37671,1
3.744,0.79459,0.95851,1.0077,0
4.0552,-2.4583,2.2806,1.0323,0
-2.5463,3.1101,-0.83228,-3.0358,1
-2.7914,1.7734,6.7756,-0.39915,0
3.4647,-3.9172,3.9746,0.36119,0
-1.3274,9.498,2.4408,-5.2689,0
0.54777,10.3754,-1.5435,-4.1633,0
-1.2424,-1.7175,-0.52553,-0.21036,1
0.93584,8.8855,-1.6831,-1.6599,0
-3.3924,3.3564,-0.72004,-3.5233,1
5.0429,-0.52974,0.50439,1.106,0
-6.3364,9.2848,0.014275,-6.7844,1
0.14783,7.946,1.0742,-3.3409,0
4.1038,-4.8069,3.3491,-0.49225,0
-0.89569,3.0025,-3.6067,-3.4457,1
3.4893,6.69,-1.2042,-0.38751,0
1.8993,7.6625,0.15394,-3.1108,0
-1.5621,-2.2121,4.2591,0.27972,1
-2.902,-7.6563,11.8318,-0.84268,1
2.2429,-4.1427,5.2333,-0.40173,0
3.4591,11.112,-4.2039,-5.0931,0
-1.4572,9.1214,1.7425,-5.1241,0
0.0031201,-4.0061,1.7956,0.91722,1
-4.2249,6.2699,0.15822,-5.5457,1
3.4642,10.6878,-3.4071,-4.109,0
2.5367,2.599,2.0938,0.20085,0
4.0552,0.40143,1.4563,0.65343,0
1.1558,6.4003,1.5506,0.6961,0
-1.9458,11.2217,1.9079,-3.4405,0
-0.49281,3.0605,-1.8356,-2.834,1
-2.588,3.8654,-0.3336,-1.2797,1
-3.3553,0.35591,2.6473,-0.37846,1
-1.9555,0.20692,1.2473,-0.3707,1
0.38478,6.5989,-0.3336,-0.56466,0
3.4669,6.87,-1.0568,-0.73147,0
-5.1216,-5.3118,10.3846,-1.0612,1
3.757,-5.4236,3.8255,-1.2526,0
-0.53072,-0.097265,-0.21793,1.0426,1
-0.3481,-0.38696,-0.47841,0.62627,1
1.5456,8.5482,0.4187,-2.1784,0
-4.0786,2.9239,0.87026,-0.65389,1
0.75736,3.0294,2.9164,-0.068117,0
-4.1479,7.1225,-0.083404,-6.4172,1
-6.3679,8.0102,0.4247,-3.2207,1
-4.8861,7.0542,-0.17252,-6.959,1
0.52855,0.96427,4.0243,-1.0483,0
3.2051,8.6889,-2.9033,-0.7819,0
1.9157,6.0816,0.23705,-2.0116,0
-3.0986,-10.4602,8.9717,-2.3427,1
4.5447,8.2274,-2.4166,-1.5875,0
3.6244,1.4609,1.3501,1.9284,0
5.8519,5.3905,-2.4037,-0.061652,0
1.6426,3.0149,0.22849,-0.147,0
-2.2153,11.9625,0.078538,-7.7853,0
-2.4824,-7.3046,6.839,-0.59053,1
-1.6936,2.7852,-2.1835,-1.9276,1
1.8799,2.4707,2.4931,0.37671,0
1.2309,3.8923,-4.8277,-4.0069,1
0.21084,9.4359,-0.094543,-1.859,0
2.2034,5.9947,0.53009,0.84998,0
-2.9146,4.0537,-0.45699,-4.0327,1
-5.119,6.6486,-0.049987,-6.5206,1
0.3292,-4.4552,4.5718,-0.9888,0
-1.1005,-7.2508,6.0139,0.36895,1
0.6005,0.99945,-2.2126,0.097399,1
-1.7549,-0.080711,-0.75774,-0.3707,1
1.8216,-6.4748,8.0514,-0.41855,0
2.8261,9.4007,-3.3034,-1.0509,0
2.5817,9.7546,-3.1749,-2.9957,0
0.98296,3.4226,-3.9692,-1.7116,1
2.8969,0.70768,2.29,1.8663,0
-0.13144,-1.7775,8.3316,0.35214,0
-1.5572,-9.8808,8.1088,-1.0806,1
1.0191,2.33,4.9334,0.82929,0
-1.4174,-2.2535,1.518,0.61981,1
3.4092,5.4049,-2.5228,-0.89958,0
1.2706,8.035,-0.19651,-2.1888,0
0.74428,-3.7723,1.6131,1.5754,1
-3.8483,-12.8047,15.6824,-1.281,1
1.3754,8.8793,-1.9136,-0.53751,0
2.2504,3.5757,0.35273,0.2836,0
0.53936,3.8944,-4.8166,-4.3418,1
2.9163,10.8306,-3.3437,-4.122,0
3.4769,-0.15314,2.53,2.4495,0
-0.048008,-0.56078,7.7215,0.453,0
-2.4835,-7.4494,6.8964,-0.64484,1
-3.9411,-12.8792,13.0597,-3.3125,1
2.8232,10.8513,-3.1466,-3.9784,0
1.7748,-0.76978,5.5854,1.3039,0
2.0177,1.7982,-2.9581,0.2099,1
1.0284,9.767,-1.3687,-1.7853,0
-0.38388,-1.0471,8.0514,0.49567,0
-3.2305,-7.2135,11.6433,-0.94613,1
4.7965,6.9859,-1.9967,-0.35001,0
-2.5701,-6.8452,8.9999,2.1353,1
-3.793,-12.7095,12.7957,-2.825,1
5.7867,7.8902,-2.6196,-0.48708,0
-0.1269,-1.1505,-0.95138,0.57843,1
-3.2854,4.0372,-0.45356,-1.8228,1
0.59823,3.5012,-3.9795,-1.7841,1
-2.7143,11.4535,2.1092,-3.9629,0
4.5597,-2.4211,2.6413,1.6168,0
-0.62684,-6.301,4.7843,1.106,1
-2.4115,-9.1359,9.3444,-0.65259,1
-0.2062,9.2207,-3.7044,-6.8103,0
-0.40857,3.0977,-2.9607,-2.6892,1
4.6464,10.5326,-4.5852,-4.206,0
2.3066,3.5364,0.57551,0.41938,0
3.6894,9.887,-4.0788,-4.3664,0
3.7831,10.0526,-3.8869,-3.7366,0
0.96574,8.393,-1.361,-1.4659,0
-2.0631,-1.5147,1.219,0.44524,1
4.6499,7.6336,-1.9427,-0.37458,0
-4.0214,-12.8006,15.6199,-0.95647,1
-4.3773,-5.5167,10.939,-0.4082,1
4.8077,2.2327,-0.26334,1.5534,0
0.38251,6.8121,1.8128,-0.61251,0
-3.8952,3.8157,-0.31304,-3.8194,1
-0.27802,8.1881,-3.1338,-2.5276,0
3.6289,0.81322,1.6277,0.77627,0
0.2346,-4.5152,2.1195,1.4448,1
2.7161,-4.2006,4.1914,0.16981,0
2.2091,7.4556,-1.3284,-3.3021,0
-0.39416,-0.020702,-0.066267,-0.44699,1
2.8521,9.171,-3.6461,-1.2047,0
-2.0891,-0.48422,1.704,1.7435,1
1.164,3.913,-4.5544,-3.8672,1
5.1731,3.9606,-1.983,0.40774,0
3.1836,7.2321,-1.0713,-2.5909,0
-0.91718,9.9884,1.1804,-5.2263,0
3.7758,7.1783,-1.5195,0.40128,0
0.74841,7.2756,1.1504,-0.5388,0
0.27331,4.8773,-4.9194,-5.8198,1
1.2616,4.4303,-1.3335,-1.7517,0
-1.3414,-2.0776,2.8093,0.60688,1
-0.49948,1.7734,-2.2469,-0.68104,1
-1.7559,11.9459,3.0946,-4.8978,0
0.11686,3.735,-4.4379,-4.3741,1
4.8265,0.80287,1.6371,1.1875,0
-1.4628,-1.5706,2.4357,0.49826,1
-3.2051,-0.14279,0.97565,0.045675,1
0.81583,4.84,-5.2613,-6.0823,1
1.581,0.86909,-2.3138,0.82412,1
4.1927,-3.2674,2.5839,0.21766,0
-2.2617,-4.7428,6.3489,0.11162,1
-1.6677,-7.1535,7.8929,0.96765,1
-1.8187,-9.0366,9.0162,-0.12243,1
2.5331,2.9135,-0.822,-0.12243,0
3.7321,-3.884,3.3577,-0.0060486,0
4.0215,-2.7004,2.4957,0.36636,0
-2.0545,-10.8679,9.4926,-1.4116,1
3.8213,0.23175,2.0133,2.0564,0
-2.484,12.1611,2.8204,-3.7418,0
4.0215,-2.1914,2.4648,1.1409,0
2.6463,-4.8152,6.3549,0.003003,0
-6.7387,6.9879,0.67833,-7.5887,1
-0.16735,7.6274,1.2061,-3.6241,0
3.5156,10.1891,-4.2759,-4.978,0
6.8248,5.2187,-2.5425,0.5461,0
-5.0301,7.5032,-0.13396,-7.5034,1
-1.0112,2.9984,-1.1664,-1.6185,1
-3.5713,-12.4922,14.8881,-0.47027,1
4.9264,5.496,-2.4774,-0.50648,0
3.3583,10.3567,-3.7301,-3.6991,0
-0.014902,-1.0243,-0.94024,0.64955,1
0.77765,5.9781,1.1941,-0.3526,0
1.3451,0.23589,-1.8785,1.3258,1
-2.0042,-9.3676,9.3333,-0.10303,1
3.9382,0.9291,0.78543,0.6767,0
-0.53966,7.3273,0.46583,-1.4543,0
-1.4375,-1.8624,4.026,0.55127,1
1.6988,2.9094,2.9044,0.11033,0
-0.55008,2.8659,-1.6488,-2.4319,1
-1.8411,10.8306,2.769,-3.0901,0
4.0932,5.4132,-1.8219,0.23576,0
0.74521,3.6357,-4.4044,-4.1414,1
-0.69745,-1.7672,-0.34474,-0.12372,1
-2.0441,1.2271,0.18564,-1.091,1
1.7496,-0.1759,5.1827,1.2922,0
-4.4779,7.3708,-0.31218,-6.7754,1
4.0102,10.6568,-4.1388,-5.0646,0
-0.77995,3.2322,-3.282,-3.1004,1
2.3136,10.6651,-3.5288,-4.7672,0
1.5701,7.9129,0.29018,-2.1953,0
0.86736,5.5643,1.6765,-0.16769,0
-2.5899,-0.3911,0.93452,0.42972,1
-0.74324,-0.32902,-0.42785,0.23317,1
-1.3389,1.552,7.0806,1.031,0
0.5195,-3.2633,3.0895,-0.9849,0
3.8584,0.78425,1.1033,1.7008,0
-2.9498,-8.273,10.2646,1.1629,1
1.0235,6.901,-2.0062,-2.7125,0
1.4896,3.4288,-4.0309,-1.4259,1
3.1452,5.825,-0.51439,-1.4944,0
1.105,7.4432,0.41099,-3.0332,0
1.0182,9.109,-0.62064,-1.7129,0
-3.0265,-0.062088,0.68604,-0.055186,1
-2.4349,-9.2497,8.9922,-0.50001,1
0.11592,3.2219,-3.4302,-2.8457,1
1.5673,7.9274,-0.056842,-2.1694,0
0.76163,5.8209,1.1959,-0.64613,0
2.9719,6.8369,-0.2702,0.71291,0
2.9695,5.6222,0.27561,-1.1556,0
3.7798,-3.3109,2.6491,0.066365,0
2.2279,4.0951,-4.8037,-2.1112,1
2.9571,-4.5938,5.9068,0.57196,0
0.17346,7.8695,0.26876,-3.7883,0
0.25943,5.0097,-5.0394,-6.3862,1
4.5707,7.2094,-3.2794,-1.4944,0
-1.7104,-4.778,6.2109,0.3974,1
5.6084,10.3009,-4.8003,-4.3534,0
-2.4725,-0.40145,1.4855,1.1189,1
3.3299,0.91254,1.5806,0.39352,0
2.2517,-5.1422,4.2916,-1.2487,0
0.20977,-0.46146,7.7267,0.90946,0
1.4378,0.66837,-2.0267,1.0271,1
-1.8356,-6.7562,5.0585,-0.55044,1
-3.1158,-8.6289,10.4403,0.97153,1
3.4916,8.5709,-3.0326,-0.59182,0
1.5356,9.1772,-2.2718,-0.73535,0
-2.4473,12.6247,0.73573,-7.6612,0
-3.7181,-8.5089,12.363,-0.95518,1
-0.61442,-0.091058,-0.31818,0.50214,1
3.8417,10.0215,-4.2699,-4.9159,0
-5.3857,9.1214,-0.41929,-5.9181,1
2.5698,-4.4076,5.9856,0.078002,0
-0.16682,5.8974,0.49839,-0.70044,0
-1.9423,0.3766,-1.2898,-0.82458,1
1.7747,-6.4334,8.15,-0.89828,0
3.6667,4.302,0.55923,0.33791,0
-1.6988,-7.1163,5.7902,0.16723,1
3.5862,-3.0957,2.8093,0.24481,0
1.3349,6.1189,0.46497,0.49826,0
-1.8387,-6.301,5.6506,0.19567,1
0.60731,3.9544,-4.772,-4.4853,1
-1.4427,3.2922,-1.9702,-3.4392,1
3.3397,-4.6145,3.9823,-0.23751,0
0.26877,4.987,-5.1508,-6.3913,1
-2.7419,11.4038,2.5394,-5.5793,0
0.21431,-0.69529,0.87711,0.29653,1
-1.8219,-6.8824,5.4681,0.057313,1
0.91315,3.3377,-4.0557,-1.6741,1
-1.8782,-6.5865,4.8486,-0.021566,1
-1.366,0.18416,0.90539,1.5806,1
-0.12624,10.3216,-3.7121,-6.1185,0
5.1776,8.2316,-3.2511,-1.5694,0
4.1736,3.3336,-1.4244,0.60429,0
-3.8073,-8.0971,10.1772,0.65084,1
-3.3458,-0.50491,2.6328,0.53705,1
-2.41,3.7433,-0.40215,-1.2953,1
1.1166,8.6496,-0.96252,-1.8112,0
3.5499,8.6165,-3.2794,-1.2009,0
5.1321,-0.031048,0.32616,1.1151,0
-2.7908,-5.7133,5.953,0.45946,1
5.438,9.4669,-4.9417,-3.9202,0
0.88444,6.5906,0.55837,-0.44182,0
-6.1536,7.9295,0.61663,-3.2646,1
-1.522,-6.6383,5.7491,-0.10691,1
2.6719,3.0646,0.37158,0.58619,0
4.2188,6.8162,-1.2804,0.76076,0
2.0922,-6.81,8.4636,-0.60216,0
-1.8584,7.886,-1.6643,-1.8384,0
1.3562,3.2136,4.3465,0.78662,0
-1.1193,10.7271,2.0938,-5.6504,0
2.4527,2.9653,0.20021,-0.056479,0
-6.2003,8.6806,0.0091344,-3.703,1
3.3669,-5.1856,3.6935,-1.1427,0
-1.9551,-6.9756,5.5383,-0.12889,1
-4.1409,3.4619,-0.47841,-3.8879,1
1.1588,8.9331,-2.0807,-1.1272,0
2.8209,7.3108,-0.81857,-1.8784,0
0.52374,3.644,-4.0746,-1.9909,1
-4.3876,-7.7267,11.9655,-1.4543,1
0.83292,7.5404,0.65005,-0.92544,0
-2.8957,-12.0205,11.9149,-2.7552,1
4.7072,8.2957,-2.5605,-1.4905,0
2.4226,-4.5752,5.947,0.21507,0
-2.5919,-1.0553,3.8949,0.77757,1
-0.83121,0.039307,0.05369,-0.23105,1
3.6575,7.2797,-2.2692,-1.144,0
-2.8829,3.8964,-0.1888,-1.1672,1
